id,nombre,latitud,longitud,riesgo,tipo
9257, #3051,-15.4471043,-70.1425938,35,interseccion
9258, #3052,-15.4472363,-70.1431547,35,interseccion
9259, #3053,-15.4472783,-70.1433332,35,interseccion
9260, #3054,-15.4474027,-70.1438517,35,interseccion
9261, #3055,-15.4474467,-70.1440482,35,interseccion
9262, #3056,-15.4475258,-70.1443101,35,interseccion
9263, #3057,-15.4476208,-70.1447898,35,interseccion
9264, #3058,-15.4481998,-70.1473275,35,interseccion
9265, #3059,-15.448266,-70.1477315,35,interseccion
9266, ∩ Av. Rodolfo Diesel,-15.4486004,-70.1491921,35,interseccion
9267, #3061,-15.4486713,-70.1495671,35,interseccion
9268, #3062,-15.448839,-70.1501921,35,interseccion
9269, ∩ Jr. Antony Perkins,-15.4488527,-70.1503337,35,interseccion
9270, #3064,-15.448839,-70.1506098,35,interseccion
9271, ∩ Av. Rumi,-15.4486634,-70.1514787,35,interseccion
9272, ∩ Calle Urpi,-15.4484998,-70.1522886,35,interseccion
9273, #3067,-15.447085,-70.1474674,35,interseccion
9274, #3068,-15.4462128,-70.1476264,35,interseccion
9275, #3069,-15.445758,-70.1477313,35,interseccion
9276, #3070,-15.4452167,-70.1478939,35,interseccion
9277, #3071,-15.4442692,-70.1481327,35,interseccion
9278, #3072,-15.4437956,-70.1482568,35,interseccion
9279, #3073,-15.4435972,-70.1483099,35,interseccion
9280, #3074,-15.4482196,-70.1446646,35,interseccion
9281, #3075,-15.4486655,-70.1445709,35,interseccion
9282, #3076,-15.4485381,-70.1440936,35,interseccion
9283, #3077,-15.4494326,-70.1438579,35,interseccion
9284, #3078,-15.4493729,-70.1433757,35,interseccion
9285, #3079,-15.4463283,-70.1441543,35,interseccion
9286, #3080,-15.4456546,-70.1437119,35,interseccion
9287, #3081,-15.4458113,-70.1436771,35,interseccion
9288, #3082,-15.4487105,-70.1429557,35,interseccion
9289, #3083,-15.4490358,-70.1428853,35,interseccion
9290, #3084,-15.4492065,-70.1428423,35,interseccion
9291, #3085,-15.4497166,-70.1426995,35,interseccion
9292, #3086,-15.4499237,-70.1425917,35,interseccion
